# index, id, group, size
209,Black Fox (Raul Chalmers),1,1
210,Dormammu,1,5
211,Cloak and Dagger (comics),0,1
212,Rogue (comics),2,1
213,Darkstar (comics),0,3
214,Dirtnap (comics),1,1
215,Human Torch (android),0,1
216,Mole Man,1,5
217,Thor (Marvel Comics),0,3
218,Surtur (Marvel Comics),1,3
219,Unicorn (comics),1,8
220,Black Widow (Natasha Romanova),0,4
221,Mondo (comics),2,2
222,Janice Lincoln,2,1
223,Leader (comics),1,4
224,Sat-Yr-9,1,1
225,Collector (comics),1,1
226,Doctor Strange,0,1
227,Ghost Rider,0,2
228,Cletus Kasady,1,4
229,Black Knight (Dane Whitman),0,1
230,Colleen Wing,0,3
231,Gibbon (comics),1,1
232,Devil Dinosaur,0,2
233,Shriek (comics),1,5
234,Discus (comics),1,2
235,Black Panther (comics),0,2
236,Spider-Girl,0,1
237,Doctor Faustus (comics),1,1
238,Attuma,1,8
239,Erik Killmonger,1,1
240,Storm (Marvel Comics),0,2
241,Mac Gargan,1,1
242,Arcade (Marvel Comics),1,2
243,Vulture (Marvel Comics),1,1
244,Blink (comics),0,1
245,Kala (comics),1,1
246,Jocasta (comics),0,2
247,Electro (Marvel Comics),1,1
248,Chameleon (comics),1,6
249,Spider-Woman (Jessica Drew),0,3
250,Doc Samson,0,1
251,Grizzly (comics),1,2
252,Deathwatch (comics),1,1
253,She-Hulk,0,1
254,Vengeance (comics),2,2
255,Bucky (Marvel Comics),0,1
256,Topaz (Marvel Comics),0,1
257,Molecule Man,1,1
258,Porcupine (comics),1,2
259,Kangaroo (comics),1,4
260,Madame Masque,1,1
261,Abraham Cornelius,1,2
262,Stingray (comics),0,1
263,Free Spirit (comics),0,1
264,Psycho-Man,1,1
265,Jason Macendale,1,1
266,Klaw (Marvel Comics),1,1
267,Kingpin (character),1,2
268,Amadeus Cho,0,1
269,Red Ghost,1,4
270,Hank Pym,0,2
271,Titanium Man,1,2
272,Madelyne Pryor,1,2
273,Absorbing Man,1,1
274,Nicholas Scratch,1,1
275,Grim Reaper (comics),1,6
276,Boomerang (comics),1,3
277,Pip the Troll,2,2
278,Black Talon (comics),1,1
279,Medusa (comics),0,1
280,Rom (comics),0,1
281,Blastaar,1,1
282,Kid Kaiju,0,2
283,Jack Flag,0,1
284,Elsa Bloodstone,0,1
285,Power Man (Victor Alvarez),0,2
286,Abigail Brand,0,1
287,Awesome Android,1,1
288,Spider-Woman (Gwen Stacy),0,3
289,Domino (comics),0,3
290,Wolverine (character),0,2
291,Lois London,1,1
292,Zarathos,1,2
293,Madman (Marvel Comics),1,1
294,Cyttorak,1,1
295,Carnage (comics),1,5
296,Steel Serpent,1,1
297,Eddie Brock,2,2
298,Man-Beast,1,2
299,Moon Girl (Marvel Comics),0,2
300,Midgard Serpent (Marvel Comics),1,1
301,Captain America,0,10
302,Spiral (comics),2,1
303,Calypso (comics),1,1
304,Man-Thing,0,1
305,Red Skull,1,9
306,Apocalypse (Marvel Comics),1,1
307,Silk (comics),0,5
308,Stiletto (comics),1,2
309,Mayhem (comics),0,1
310,Loki (comics),1,6
311,Jigsaw (Marvel Comics),1,2
312,Orka (comics),1,1
313,Batroc the Leaper,1,1
314,Pluto (Marvel Comics),1,1
315,Mister Sinister,1,1
316,Sif (comics),0,1
317,Griffin (Marvel Comics),1,2
318,Garokk,1,1
319,Pepper Potts,0,1
320,Moon-Boy,0,1
321,Caretaker (comics),0,1
322,Buzz (comics),0,1
323,Arnim Zola,1,1
324,Jonas Harrow,1,2
325,Rikki Barnes,0,1
326,White Tiger (Angela del Toro),0,1
327,Hammerhead (comics),1,3
328,Viper (Madame Hydra),1,3
329,Puppet Master (Marvel Comics),1,5
330,Man-Bull,1,1
331,Ultron,1,2
332,Byrrah,1,3
333,Kang the Conqueror,1,1
334,Carol Danvers,0,2
335,Jackal (Marvel Comics),1,3
336,Galaxy Master,1,1
337,Doppelganger (comics),1,5
338,Plantman,1,2
339,Shellshock (Marvel Comics),1,1
340,Count Nefaria,1,2
341,Emplate,1,1
342,Peregrine (comics),0,1
343,Belasco (Marvel Comics),1,3
344,Dragon Man,1,1
345,Bi-Beast,1,2
346,Namora,0,3
347,Alexander Bont,1,2
348,Giganto,1,2
349,Fin (comics),0,3
